MachineTS,ExchTstamp,SeqNum,SecurityId,Type,Side,bid_size[0],bid[0],ask[0],ask_size[0],bid_size[1],bid[1],ask[1],ask_size[1],bid_size[2],bid[2],ask[2],ask_size[2],bid_size[3],bid[3],ask[3],ask_size[3],bid_size[4],bid[4],ask[4],ask_size[4],price,qty,old_price,old_qty,likely_bid_size,likely_bid,likely_ask,likely_ask_size,btc,atc,btv,atv,dprLow,dprHigh,ExchId1,ExchId2
0,1771559119685229927,104,504212,N,S,21,68870,70000,15,21,68865,70005,15,1,68850,70010,10,1,68590,70195,48,45,68585,70215,6,70000,15,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591196851557002,0
0,1771559120150312889,105,504212,M,B,21,68875,70000,15,21,68870,70005,15,1,68850,70010,10,1,68590,70195,48,45,68585,70215,6,68875,21,68865,21,-1,-1,-1,-1,0,0,1,0,0,0,17715591201502470311,0
0,1771559120150349904,106,504212,M,S,21,68875,69995,15,21,68870,70000,15,1,68850,70010,10,1,68590,70195,48,45,68585,70215,6,69995,15,70005,15,-1,-1,-1,-1,0,0,1,0,0,0,17715591201502912732,0
0,1771559120150522054,107,504212,M,S,21,68875,69940,4,21,68870,69995,15,1,68850,70000,15,1,68590,70195,48,45,68585,70215,6,69940,4,70010,10,-1,-1,-1,-1,0,0,1,0,0,0,17715591201504573482,0
0,1771559120150528989,108,504212,N,S,21,68875,69940,54,21,68870,69995,15,1,68850,70000,15,1,68590,70195,48,45,68585,70215,6,69940,50,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591201504698662,0
0,1771559120150637356,110,504212,M,B,23,68880,69940,54,21,68875,69995,15,1,68850,70000,15,1,68590,70195,48,45,68585,70215,6,68880,23,68870,21,-1,-1,-1,-1,0,0,1,0,0,0,17715591201505734251,0
0,1771559120543524693,116,504212,M,B,23,68885,69940,54,23,68880,69995,15,1,68850,70000,15,1,68590,70195,48,45,68585,70215,6,68885,23,68875,21,-1,-1,-1,-1,0,0,1,0,0,0,17715591205434484641,0
0,1771559120543531586,117,504212,M,S,23,68885,69935,3,23,68880,69940,54,1,68850,69995,15,1,68590,70195,48,45,68585,70215,6,69935,3,70000,15,-1,-1,-1,-1,0,0,1,0,0,0,17715591205434584782,0
0,1771559120543540416,118,504212,M,S,23,68885,69935,6,23,68880,69940,54,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,69935,3,69995,15,-1,-1,-1,-1,0,0,1,0,0,0,17715591205434707902,0
0,1771559120543544052,119,504212,M,S,23,68885,69935,6,23,68880,69940,50,1,68850,70010,10,1,68590,70195,48,45,68585,70215,6,70010,10,69940,4,-1,-1,-1,-1,0,0,1,0,0,0,17715591205434890182,0
0,1771559120543555551,120,504212,X,S,23,68885,69935,6,23,68880,70010,10,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,69940,50,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591201504698662,0
0,1771559120593360679,121,504212,M,B,23,68890,69935,6,23,68885,70010,10,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,68890,23,68880,23,-1,-1,-1,-1,0,0,1,0,0,0,17715591205932863381,0
0,1771559120977236336,122,504212,M,B,23,68895,69935,6,23,68890,70010,10,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,68895,23,68885,23,-1,-1,-1,-1,0,0,1,0,0,0,17715591209771630901,0
0,1771559120977279928,123,504212,M,S,23,68895,69905,50,23,68890,69935,6,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,69905,50,70010,10,-1,-1,-1,-1,0,0,1,0,0,0,17715591209771987492,0
0,1771559120977428792,124,504212,M,S,23,68895,69900,54,23,68890,69905,50,1,68850,69935,3,1,68590,70195,48,45,68585,70215,6,69900,54,69935,3,-1,-1,-1,-1,0,0,1,0,0,0,17715591209773683802,0
0,1771559120977464705,125,504212,M,B,23,68900,69900,54,23,68895,69905,50,1,68850,69935,3,1,68590,70195,48,45,68585,70215,6,68900,23,68890,23,-1,-1,-1,-1,0,0,1,0,0,0,17715591209774059761,0
0,1771559120977473264,126,504212,M,S,23,68900,69900,108,23,68895,69905,50,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,69900,54,69935,3,-1,-1,-1,-1,0,0,1,0,0,0,17715591209774183682,0
0,1771559120978545115,127,504212,X,S,23,68900,69900,54,23,68895,69905,50,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,69900,54,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591209774183682,0
0,1771559120978572391,128,504212,M,B,23,68905,69900,54,23,68900,69905,50,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,68905,23,68895,23,-1,-1,-1,-1,0,0,1,0,0,0,17715591209784939081,0
0,1771559120978575870,129,504212,X,S,23,68905,69905,50,23,68900,70195,48,1,68850,70215,6,1,68590,70330,39,45,68585,70465,26,69900,54,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591209773683802,0
0,1771559121655830232,130,504212,N,S,23,68905,69900,32,23,68900,69905,50,1,68850,70195,48,1,68590,70215,6,45,68585,70330,39,69900,32,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591216557641372,0
0,1771559121695753428,131,504212,N,S,23,68905,69895,32,23,68900,69900,32,1,68850,69905,50,1,68590,70195,48,45,68585,70215,6,69895,32,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591216957008572,0
0,1771559124650369433,132,504212,M,B,23,68910,69895,32,23,68905,69900,32,1,68850,69905,50,1,68590,70195,48,45,68585,70215,6,68910,23,68900,23,-1,-1,-1,-1,0,0,1,0,0,0,17715591246503145441,0
0,1771559124650400447,133,504212,M,S,23,68910,69890,32,23,68905,69895,32,1,68850,69905,50,1,68590,70195,48,45,68585,70215,6,69890,32,69900,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591246503286262,0
0,1771559124650409907,134,504212,N,S,23,68910,69890,32,23,68905,69895,32,1,68850,69905,50,1,68590,69920,14,45,68585,70195,48,69920,14,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591246503450272,0
0,1771559124650447383,135,504212,X,B,23,68910,69890,32,1,68850,69895,32,1,68590,69905,50,45,68585,69920,14,1,68560,70195,48,68905,23,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591209784939081,0
0,1771559124650451371,136,504212,M,B,23,68910,69890,32,1,68850,69895,32,4,68635,69905,50,1,68590,69920,14,39,68585,70195,48,68635,4,68585,6,-1,-1,-1,-1,0,0,1,0,0,0,17715591246503687641,0
0,1771559124650559580,137,504212,X,B,1,68850,69890,32,4,68635,69895,32,1,68590,69905,50,39,68585,69920,14,1,68560,70195,48,68910,23,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591246503145441,0
0,1771559124650600944,138,504212,M,S,1,68850,69885,32,4,68635,69890,32,1,68590,69905,50,39,68585,69920,14,1,68560,70195,48,69885,32,69895,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591246505006032,0
0,1771559124705546014,139,504212,M,S,1,68850,69880,32,4,68635,69885,32,1,68590,69905,50,39,68585,69920,14,1,68560,70195,48,69880,32,69890,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591247054934622,0
0,1771559124705700489,140,504212,M,S,1,68850,69875,32,4,68635,69880,32,1,68590,69905,50,39,68585,69920,14,1,68560,70195,48,69875,32,69885,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591247056371892,0
0,1771559124705745032,141,504212,M,S,1,68850,69875,32,4,68635,69880,45,1,68590,69920,14,39,68585,70195,48,1,68560,70215,6,69880,13,69905,50,-1,-1,-1,-1,0,0,1,0,0,0,17715591247056889882,0
0,1771559124705921209,142,504212,M,S,1,68850,69870,32,4,68635,69875,32,1,68590,69880,13,39,68585,69920,14,1,68560,70195,48,69870,32,69880,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591247058644882,0
0,1771559124730610746,143,504212,N,B,10,68855,69870,32,1,68850,69875,32,4,68635,69880,13,1,68590,69920,14,39,68585,70195,48,68855,10,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591247305501261,0
0,1771559124731026904,144,504212,M,S,10,68855,69865,32,1,68850,69870,32,4,68635,69880,13,1,68590,69920,14,39,68585,70195,48,69865,32,69875,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591247309719332,0
0,1771559124779748183,145,504212,N,B,10,68860,69865,32,10,68855,69870,32,1,68850,69880,13,4,68635,69920,14,1,68590,70195,48,68860,10,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591247796942251,0
0,1771559124993707516,146,504212,M,B,10,68865,69865,32,10,68860,69870,32,1,68850,69880,13,4,68635,69920,14,1,68590,70195,48,68865,10,68855,10,-1,-1,-1,-1,0,0,1,0,0,0,17715591249936357301,0
0,1771559124993737395,147,504212,X,S,10,68865,69870,32,10,68860,69880,13,1,68850,69920,14,4,68635,70195,48,1,68590,70215,6,69865,32,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591247309719332,0
0,1771559124993741605,148,504212,M,S,10,68865,69860,11,10,68860,69880,13,1,68850,69920,14,4,68635,70195,48,1,68590,70215,6,69860,11,69870,32,-1,-1,-1,-1,0,0,1,0,0,0,17715591249936676332,0
0,1771559124993896080,149,504212,X,S,10,68865,69880,13,10,68860,69920,14,1,68850,70195,48,4,68635,70215,6,1,68590,70330,39,69860,11,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591249936676332,0
0,1771559125709182912,150,504212,M,B,10,68870,69880,13,10,68865,69920,14,1,68850,70195,48,4,68635,70215,6,1,68590,70330,39,68870,10,68860,10,-1,-1,-1,-1,0,0,1,0,0,0,17715591257091156931,0
0,1771559125746153170,151,504212,N,S,10,68870,69875,11,10,68865,69880,13,1,68850,69920,14,4,68635,70195,48,1,68590,70215,6,69875,11,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591257451376842,0
0,1771559126706432929,152,504212,M,B,11,68875,69875,11,10,68870,69880,13,1,68850,69920,14,4,68635,70195,48,1,68590,70215,6,68875,11,68865,10,-1,-1,-1,-1,0,0,1,0,0,0,17715591267060044591,0
0,1771559126727232833,153,504212,N,S,11,68875,69870,11,10,68870,69875,11,1,68850,69880,13,4,68635,69920,14,1,68590,70195,48,69870,11,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591267271799262,0
0,1771559127703904407,154,504212,M,B,11,68880,69870,11,11,68875,69875,11,1,68850,69880,13,4,68635,69920,14,1,68590,70195,48,68880,11,68870,10,-1,-1,-1,-1,0,0,1,0,0,0,17715591277038484301,0
0,1771559127703937024,155,504212,M,S,11,68880,69865,11,11,68875,69870,11,1,68850,69880,13,4,68635,69920,14,1,68590,70195,48,69865,11,69875,11,-1,-1,-1,-1,0,0,1,0,0,0,17715591277038680052,0
0,1771559127703996541,157,504212,M,B,11,68880,69865,11,11,68875,69870,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68725,3,68635,4,-1,-1,-1,-1,0,0,1,0,0,0,17715591277039260611,0
0,1771559127704005783,158,504212,N,B,1,68980,69865,11,11,68880,69870,11,11,68875,69880,13,1,68850,69920,14,3,68725,70195,48,68980,1,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591277039350021,0
0,1771559127704036380,160,504212,M,B,1,68980,69865,11,14,68885,69870,11,11,68880,69880,13,1,68850,69920,14,3,68725,70195,48,68885,14,68875,11,-1,-1,-1,-1,0,0,1,0,0,0,17715591277039820201,0
0,1771559127704214850,161,504212,X,B,1,68980,69865,11,14,68885,69870,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68880,11,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591277038484301,0
0,1771559127704237850,162,504212,M,B,6,68985,69865,11,1,68980,69870,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,68885,14,-1,-1,-1,-1,0,0,1,0,0,0,17715591277041372361,0
0,1771559127704321524,163,504212,M,S,6,68985,69860,14,1,68980,69865,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,69860,14,69870,11,-1,-1,-1,-1,0,0,1,0,0,0,17715591277042677232,0
0,1771559127846781430,164,504212,N,B,6,68990,69860,14,6,68985,69865,11,1,68980,69880,13,1,68850,69920,14,3,68725,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591278467249571,0
0,1771559127846918451,165,504212,X,B,6,68990,69860,14,1,68980,69865,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591277041372361,0
0,1771559127847053918,166,504212,X,B,1,68980,69860,14,1,68850,69865,11,3,68725,69880,13,1,68590,69920,14,39,68585,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591278467249571,0
0,1771559127889882936,167,504212,N,B,6,68985,69860,14,1,68980,69865,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591278898240381,0
0,1771559127951866496,168,504212,N,B,6,68990,69860,14,6,68985,69865,11,1,68980,69880,13,1,68850,69920,14,3,68725,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591279518178511,0
0,1771559127952032691,169,504212,X,B,6,68990,69860,14,1,68980,69865,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591278898240381,0
0,1771559127952176507,170,504212,X,B,1,68980,69860,14,1,68850,69865,11,3,68725,69880,13,1,68590,69920,14,39,68585,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591279518178511,0
0,1771559128041153527,171,504212,N,B,6,68985,69860,14,1,68980,69865,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591280411053101,0
0,1771559128495256870,177,504212,N,B,6,68990,69860,14,6,68985,69865,11,1,68980,69880,13,1,68850,69920,14,3,68725,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591284950747501,0
0,1771559128495390560,178,504212,X,B,6,68990,69860,14,1,68980,69865,11,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591280411053101,0
0,1771559128495518001,179,504212,X,B,1,68980,69860,14,1,68850,69865,11,3,68725,69880,13,1,68590,69920,14,39,68585,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591284950747501,0
0,1771559128495669226,180,504212,M,S,1,68980,69855,13,1,68850,69860,14,3,68725,69880,13,1,68590,69920,14,39,68585,70195,48,69855,13,69865,11,-1,-1,-1,-1,0,0,1,0,0,0,17715591284956043792,0
0,1771559128636387486,181,504212,M,S,1,68980,69850,13,1,68850,69855,13,3,68725,69880,13,1,68590,69920,14,39,68585,70195,48,69850,13,69860,14,-1,-1,-1,-1,0,0,1,0,0,0,17715591286361539002,0
0,1771559129809133318,182,504212,N,B,6,68985,69850,13,1,68980,69855,13,1,68850,69880,13,3,68725,69920,14,1,68590,70195,48,68985,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591298090598731,0
0,1771559129876179906,183,504212,N,B,6,68990,69850,13,6,68985,69855,13,1,68980,69880,13,1,68850,69920,14,3,68725,70195,48,68990,6,0,0,-1,-1,-1,-1,0,0,1,0,0,0,17715591298761256481,0
0,1771559130828202596,185,504212,M,B,6,68995,69850,13,6,68990,69855,13,1,68980,69880,13,1,68850,69920,14,3,68725,70195,48,68995,6,68985,6,-1,-1,-1,-1,0,0,1,0,0,0,17715591308281420541,0
0,1771559130828212389,186,504212,M,S,6,68995,69845,19,6,68990,69850,13,1,68980,69880,13,1,68850,69920,14,3,68725,70195,48,69845,19,69855,13,-1,-1,-1,-1,0,0,1,0,0,0,17715591308281547382,0
